trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency,c_gate_shortfall
201,0.1840131546078059,True,59,21,64.0,23.0,13,13,3.8000000000000003,4,27,2.0,3.8000000000000003,1.5,0.027,0.7,18.75363757899986,1.1216017565007974,0.5998048405413997,19.594348522725273,166.0,41.0,125.0,24.698795180722893,17296.86,15421.57,1875.2900000000009,2110.06,0.0,2.0,19.66910677199992,1.3238656010116479,1.2758967522384517,21.013562418018527,72.0,18.0,54.0,25.0,8040.18,6073.26,1966.92,796.59,0.0,2.0,0.05900732031599976,0.08096640025291196,-0.034363213817248724,0.05714285714285714,0.018753637578999862,0.006080087825039871,-0.0035739346907539644,
202,0.21762230367524477,True,58,21,64.0,22.0,13,13,3.7,4,27,2.0,3.8000000000000003,1.5,0.027,0.7,14.641885776999807,1.0963369724771246,0.5219786097029707,18.023294732831037,165.0,39.0,126.0,23.636363636363637,16662.82,15198.63,1464.1900000000005,2058.72,0.0,2.0,26.995651615999922,1.4798669648285152,1.679167605413099,17.283288208760023,69.0,18.0,51.0,26.08695652173913,8325.109999999999,5625.58,2699.529999999999,786.62,0.0,2.0,0.08098695484799977,0.1199667412071288,-0.013047361192914421,0.05476190476190477,0.014641885776999809,0.004816848623856229,-0.044504670349730185,
203,0.052595356580515784,True,60,21,64.0,21.0,13,13,3.7,4,25,2.0,3.8000000000000003,1.5,0.026000000000000002,0.7,0.5141568944997743,1.0034448545249057,0.13568897779479405,23.38483545683017,169.0,38.0,131.0,22.485207100591715,14978.030000000002,14926.61,51.42000000000189,1970.1,0.0,2.0,22.608550171000026,1.3850963733111679,1.4707904177094915,19.550778567401377,72.0,18.0,54.0,25.0,8131.79,5870.919999999999,2260.870000000001,807.79,0.0,3.0,0.06782565051300007,0.09627409332779197,-0.026004448956579298,0.05714285714285714,0.0005141568944997744,0.00017224272624528637,-0.14332919506729916,
204,0.19564419007705713,True,65,21,63.0,22.0,12,13,3.8000000000000003,4,26,2.0,3.8000000000000003,1.5,0.027,0.7,4.902402724499825,1.0336606160219535,0.26149298271249266,21.89579371034966,160.0,38.0,122.0,23.75,15055.67,14565.39,490.28000000000065,1907.83,0.0,2.0,38.650075002499925,1.628959658915233,2.1640689299839333,18.827000238890793,68.0,19.0,49.0,27.941176470588236,10010.119999999999,6145.1,3865.0199999999986,826.68,0.0,2.0,0.11595022500749977,0.15723991472880827,-0.021868572793661677,0.05396825396825397,0.004902402724499825,0.0016830308010976737,-0.1162310643594407,
205,-1.0065704470475003,False,67,21,64.0,20.0,12,13,3.8000000000000003,4,26,2.0,3.9000000000000004,1.5,0.027,0.7,-3.9422682285001613,0.9720138330509998,0.021842410338590232,23.30274272981544,159.0,37.0,122.0,23.270440251572328,13696.539999999999,14090.889999999998,-394.34999999999854,1787.0,0.0,2.0,44.03809409649985,1.7167356199119175,2.3961550519724772,18.346328784086076,67.0,19.0,48.0,28.35820895522388,10548.069999999998,6144.26,4403.809999999998,830.58,0.0,2.0,,,,,,,,0.03942268228500161
206,0.2154795874424488,True,63,21,63.0,22.0,12,13,3.8000000000000003,12,27,2.0,3.8000000000000003,1.5,0.027,0.75,18.20617622499978,1.103899098144871,0.5674701175506103,19.492091827955598,154.0,39.0,115.0,25.324675324675326,19343.37,17522.769999999997,1820.6000000000022,2098.1,0.0,2.0,30.888928321499897,1.4631359725077253,1.6325816597489349,20.250653132458808,66.0,19.0,47.0,28.78787878787879,9758.399999999998,6669.509999999999,3088.8899999999985,816.26,0.0,2.0,0.09266678496449969,0.11578399312693133,-0.030003732185478905,0.05238095238095239,0.01820617622499978,0.0051949549072435545,-0.038749541976699046,
207,0.17435569841905915,True,64,21,62.0,22.0,12,13,3.7,4,28,2.0,3.8000000000000003,1.5,0.027,0.75,7.542371859999767,1.0505552151886175,0.32828814649953714,21.408889035220895,152.0,36.0,116.0,23.68421052631579,15672.75,14918.54,754.2099999999991,1980.57,0.0,2.0,32.92029847599997,1.5348474115858017,1.8620491803481996,19.357814646627403,64.0,17.0,47.0,26.5625,9447.17,6155.12,3292.05,824.02,0.0,2.0,0.09876089542799991,0.13371185289645043,-0.02490179798072802,0.050793650793650794,0.007542371859999767,0.002527760759430875,-0.09407903533774462,
208,0.06447171388330614,True,64,21,61.0,22.0,11,13,3.8000000000000003,12,28,2.0,3.8000000000000003,1.5,0.027,0.75,14.08450533299996,1.0844182932574449,0.47784059151291547,24.746754037496352,155.0,39.0,116.0,25.161290322580644,18092.63,16684.180000000004,1408.449999999997,2022.56,0.0,2.0,9.431190494999937,1.1476377582968067,0.6739755825989254,21.88704319160643,63.0,15.0,48.0,23.80952380952381,7331.110000000001,6388.0,943.1100000000006,726.71,0.0,2.0,0.02829357148499981,0.036909439574201675,-0.039354532523465324,0.05,0.014084505332999962,0.004220914662872244,-0.02968218464830223,
209,0.03752398849393388,True,72,21,62.0,22.0,12,13,3.7,4,28,2.0,3.9000000000000004,1.5,0.027,0.75,1.4551578934998362,1.009865914151427,0.17434006970691027,25.25456879471998,151.0,36.0,115.0,23.841059602649008,14894.27,14748.759999999998,145.51000000000204,1901.76,0.0,2.0,20.147405927499804,1.325765047909478,1.2625854961252494,19.640312696858935,63.0,15.0,48.0,23.80952380952381,8199.3,6184.58,2014.7199999999993,787.0,0.0,2.0,0.060442217782499405,0.0814412619773695,-0.026516072553479625,0.05,0.001455157893499836,0.0004932957075713507,-0.1297918723135266,
210,0.1694412026240004,True,68,21,61.0,22.0,12,13,3.7,11,27,2.0,3.7,1.5,0.026000000000000002,0.75,18.407716070999832,1.1155088837782805,0.5907827194609966,21.022641745216504,150.0,36.0,114.0,24.0,17777.14,15936.35,1840.789999999999,2045.9,0.0,2.0,19.33602476549986,1.3073379767237079,1.2163475494226037,21.28167235407329,63.0,15.0,48.0,23.80952380952381,8224.960000000001,6291.38,1933.5800000000008,743.72,0.0,2.0,0.058008074296499575,0.07683449418092697,-0.035895270594704515,0.05,0.018407716070999832,0.005775444188914025,-0.0036892555186354915,
211,0.02578108586247703,True,66,21,60.0,22.0,12,13,3.7,12,27,2.0,3.7,1.5,0.026000000000000002,0.75,28.967329820499817,1.1830551038992143,0.8255703227429191,18.34342517638344,146.0,37.0,109.0,25.34246575342466,18721.22,15824.470000000001,2896.75,2108.62,0.0,2.0,8.337665316999791,1.1432063014413893,0.645688939845507,21.61895662184472,60.0,13.0,47.0,21.666666666666668,6655.93,5822.160000000001,833.7699999999995,652.03,0.0,2.0,0.025012995950999373,0.03580157536034734,-0.03782260926768412,0.047619047619047616,0.028967329820499817,0.009152755194960716,-0.08295000881569371,
212,0.10475616858969594,True,68,21,61.0,22.0,12,14,3.6,10,28,2.0,3.8000000000000003,1.5,0.026000000000000002,0.75,11.305759554499964,1.0705177781991275,0.4357790629542256,19.86078026267675,153.0,36.0,117.0,23.529411764705884,17163.739999999998,16033.120000000003,1130.6199999999953,2050.67,0.0,1.0,9.278088174499917,1.1646685065712996,0.6847898797514681,16.66928702189203,57.0,12.0,45.0,21.05263157894737,6562.1500000000015,5634.349999999999,927.800000000002,658.29,0.0,2.0,0.02783426452349975,0.0411671266428249,-0.009538782982240163,0.045238095238095244,0.011305759554499965,0.0035258889099563763,-0.01477618329694013,
213,0.05283577015306876,True,71,21,62.0,20.0,11,13,3.8000000000000003,11,27,2.0,3.7,1.5,0.027,0.75,2.9649754304996896,1.0173592855110358,0.2155997204376582,28.655155305201248,159.0,39.0,120.0,24.528301886792452,17376.109999999997,17079.62,296.48999999999796,2005.04,0.0,2.0,21.30167007899987,1.3108636040587656,1.2850272376552485,20.26166892873155,64.0,16.0,48.0,25.0,8982.470000000001,6852.33,2130.1400000000012,796.75,0.0,3.0,0.0639050102369996,0.07771590101469139,-0.030066679592751708,0.050793650793650794,0.0029649754304996896,0.0008679642755517914,-0.1133450520055728,
214,0.10441666252773035,True,64,21,61.0,21.0,12,12,3.7,4,29,2.0,3.8000000000000003,1.5,0.028,0.75,5.685640890999767,1.0380739674195114,0.28139816471820556,23.98445734620644,156.0,36.0,120.0,23.076923076923077,15500.779999999999,14932.25,568.5299999999988,1988.74,0.0,2.0,24.669926863499878,1.4066307011948387,1.4796097629381222,21.13034766515067,63.0,16.0,47.0,25.396825396825395,8533.93,6066.9299999999985,2467.000000000002,785.9,0.0,3.0,0.07400978059049963,0.10165767529870967,-0.03503055808657526,0.05,0.005685640890999767,0.0019036983709755707,-0.09380957453687903,
215,0.07072364048570776,True,69,21,63.0,22.0,12,13,3.6,11,27,2.0,3.6,1.5,0.026000000000000002,0.75,3.659406479499885,1.022862140592544,0.22766178724817754,23.0865914799382,156.0,36.0,120.0,23.076923076923077,16373.21,16007.25,365.9599999999991,1982.97,0.0,1.0,21.364814354500012,1.3580874514773025,1.2896741773943172,20.10730521818894,60.0,16.0,44.0,26.666666666666668,8102.73,5966.28,2136.45,707.42,0.0,2.0,0.06409444306350003,0.08952186286932562,-0.029184601246793947,0.047619047619047616,0.0036594064794998847,0.0011431070296271995,-0.10612962532849864,
216,-1.0039769120116666,False,62,20,63.0,23.0,12,19,3.8000000000000003,4,26,2.0,3.9000000000000004,1.5,0.027,0.5,-2.386147207000013,0.9705677747846423,-0.009253961180442468,19.605660227174575,135.0,30.0,105.0,22.22222222222222,7868.820000000001,8107.4400000000005,-238.6199999999999,1037.3,0.0,2.0,12.694736548999863,1.3969165158066865,1.2976425938805933,12.831055167471659,57.0,13.0,44.0,22.80701754385965,4467.8,3198.3300000000004,1269.4699999999998,442.89,0.0,1.0,,,,,,,,0.02386147207000013
