trial,score,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,risk_per_trade_pct,max_position_allocation_pct,leverage,tr_return_pct,tr_net_pnl,tr_gross_profit,tr_gross_loss,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_fees,tr_blocked,va_return_pct,va_net_pnl,va_gross_profit,va_gross_loss,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_fees,va_blocked
218,0.5324061469263024,103,16,62.0,30.0,13,16,3.8000000000000003,19,27,1.7000000000000002,2.0,0.029,0.6000000000000001,2.5,52.77145447789968,5277.145447789968,22751.28,17474.170000000002,1.3019948873108134,1.311139316540461,24.43090295468668,137.0,56.0,81.0,40.87591240875913,2248.3,0.0,22.416503674300113,2241.650367430011,8691.17,6449.51,1.3475705906340172,1.4325887472688674,11.82061956530169,58.0,26.0,32.0,44.827586206896555,941.61,0.0
196,0.5305157746893399,113,16,62.0,29.0,13,16,3.6,19,20,1.7000000000000002,2.2,0.027,0.6000000000000001,2.5,47.56198918814938,4756.198918814938,22830.93,18074.730000000003,1.2631408601954217,1.2970078224330375,17.307299831810926,119.0,46.0,73.0,38.65546218487395,2280.21,0.0,35.47245774370007,3547.245774370007,9125.33,5578.07,1.6359296315750789,2.2641610806810717,8.862060732087357,46.0,21.0,25.0,45.65217391304348,824.17,0.0
269,0.5203615621375822,111,16,62.0,32.0,13,16,3.7,17,25,1.5,2.1,0.03,0.6000000000000001,2.5,68.4948640348995,6849.486403489951,31380.95,24531.52,1.279209360039655,1.487578912723806,24.541575410801524,158.0,63.0,95.0,39.87341772151899,3222.45,0.0,13.556964964349955,1355.6964964349954,8067.68,6711.989999999999,1.201980336681074,0.9420217037754708,17.428672644837974,60.0,23.0,37.0,38.333333333333336,884.75,0.0
171,0.5187995253465794,109,16,64.0,29.0,12,15,3.7,20,19,1.9000000000000001,2.4000000000000004,0.023000000000000003,0.7,2.5,50.230834269649726,5023.083426964973,23078.24,18055.150000000005,1.2782081566755188,1.2372564456535795,29.45726945844073,120.0,43.0,77.0,35.833333333333336,2154.08,0.0,25.83334916960015,2583.334916960015,10367.289999999999,7783.969999999999,1.3318769214167063,1.5022181295115096,16.9011892211597,53.0,21.0,32.0,39.62264150943396,939.5,0.0
161,0.5152769233849646,114,16,63.0,28.0,12,13,3.9000000000000004,20,19,1.9000000000000001,2.5,0.021,0.7,2.0,49.50124828929965,4950.124828929966,21164.18,16214.06,1.305297994456663,1.3642248287370065,27.380594280601734,119.0,43.0,76.0,36.134453781512605,1896.4,0.0,23.34238149245013,2334.238149245013,9473.089999999998,7138.87,1.326973316505273,1.4503531773457425,15.709302677855833,55.0,21.0,34.0,38.18181818181818,810.69,0.0
180,0.5100441467814145,106,16,62.0,31.0,12,15,3.6,18,19,1.8,2.4000000000000004,0.025,0.65,2.5,58.835692151049756,5883.569215104975,25114.76,19231.25,1.3059348716282093,1.4526272859431557,26.92894005412581,122.0,45.0,77.0,36.885245901639344,2381.66,0.0,14.751064500200082,1475.1064500200082,7765.070000000001,6289.930000000001,1.2345240726049413,1.0180224217386458,13.14022005888122,50.0,19.0,31.0,38.0,803.02,0.0
257,0.5091222322432607,97,16,63.0,31.0,14,16,3.6,18,25,1.6,2.3,0.029,0.6000000000000001,2.5,46.19675634514975,4619.675634514975,25042.42,20422.8,1.2261991499696416,1.1034200514109773,26.83272035745793,140.0,51.0,89.0,36.42857142857143,2357.52,0.0,35.98467341989983,3598.4673419899827,10677.210000000001,7078.76,1.508344681836932,2.0646975023214904,11.41263607434894,62.0,27.0,35.0,43.54838709677419,1061.06,0.0
172,0.5057116508344965,109,16,64.0,29.0,12,15,3.7,19,19,1.9000000000000001,2.4000000000000004,0.023000000000000003,0.7,2.5,48.43609638944978,4843.609638944978,22482.21,17638.600000000002,1.274602859637386,1.205449649912188,29.5864949737567,120.0,43.0,77.0,35.833333333333336,2135.13,0.0,26.30873588300006,2630.8735883000063,10384.170000000002,7753.28,1.3393260658714765,1.5168191888775937,16.83003731256195,53.0,21.0,32.0,39.62264150943396,945.74,0.0
175,0.5057116508344965,109,16,64.0,31.0,12,15,3.7,19,19,1.9000000000000001,2.4000000000000004,0.023000000000000003,0.7,2.5,48.43609638944978,4843.609638944978,22482.21,17638.600000000002,1.274602859637386,1.205449649912188,29.5864949737567,120.0,43.0,77.0,35.833333333333336,2135.13,0.0,26.30873588300006,2630.8735883000063,10384.170000000002,7753.28,1.3393260658714765,1.5168191888775937,16.83003731256195,53.0,21.0,32.0,39.62264150943396,945.74,0.0
276,0.5048065541760413,111,16,63.0,32.0,13,15,3.6,16,26,1.6,2.0,0.03,0.6000000000000001,2.5,52.15832247489974,5215.832247489974,23993.25,18777.37,1.2777747895472051,1.222600771011445,25.218977644085545,151.0,60.0,91.0,39.735099337748345,2472.7,0.0,16.930259782150113,1693.0259782150115,8888.630000000001,7195.62,1.2352834085179596,1.0733560602371983,14.680000869971446,57.0,24.0,33.0,42.10526315789474,892.9,0.0
