trial,score,enabled,length,std,min_bandwidth_pct,expansion_lookback,expansion_min_ratio,min_mid_distance,tr_on_return_pct,tr_on_pf,tr_on_sharpe,tr_on_max_dd,tr_on_trades,tr_on_wins,tr_on_losses,tr_on_win_rate,tr_on_gross_profit,tr_on_gross_loss,tr_on_net_pnl,tr_on_fees,tr_on_blocked,tr_on_head_dropped,va_on_return_pct,va_on_pf,va_on_sharpe,va_on_max_dd,va_on_trades,va_on_wins,va_on_losses,va_on_win_rate,va_on_gross_profit,va_on_gross_loss,va_on_net_pnl,va_on_fees,va_on_blocked,va_on_head_dropped,c_gate_shortfall,c_valid_trade_ratio,c_va_pf,c_va_netpnl,c_va_dd,c_tr_pf,c_tr_netpnl,c_tr_dd,c_reason
115,0.11585400006184529,True,16,2.4,0.5,17,1.05,0.05,55.208240607999585,1.2571811096323136,1.2035058964448502,17.07566439637569,154,51,103,33.116883116883116,26987.140000000003,21466.390000000003,5520.75,2656.61,1062,0,38.12315419449984,1.458739496708377,1.7174141126734817,17.829371533434802,67.0,26.0,41.0,38.80597014925373,12122.84,8310.49,3812.3500000000004,927.89,431.0,5.0,,0.8375,0.003919773153139572,-0.02311537970792593,0.019751110695201583,0.023507461627957957,0.058020382223204395,0.033770652070267713,
2,0.11526339152570494,True,44,1.8,1.1,5,0.5,0.24,40.728931189499775,1.229382439043072,0.9842306026216766,24.838734546221353,111,36,75,32.432432432432435,21828.890000000003,17755.979999999996,4072.910000000007,1752.92,1375,1,41.62298545499993,1.687981196756375,1.899441704542587,17.636275528669884,47.0,18.0,29.0,38.297872340425535,10212.320000000002,6050.019999999999,4162.300000000003,654.46,529.0,2.0,,0.5875,0.07555780441813889,-0.006878472584704883,0.021161734737819165,0.018295210892475183,0.0034661585764095286,0.003660955485567066,
45,0.11390920525637782,True,10,2.8,0.30000000000000004,18,1.1500000000000001,0.0,35.54235083749958,1.1546888804745676,0.8740126824083363,22.441783405342346,169,53,116,31.36094674556213,26530.94,22976.7,3554.239999999998,2845.26,984,0,52.16655702599981,1.631976177900108,2.077741763154784,18.802685493901137,65.0,25.0,40.0,38.46153846153846,13471.18,8254.52,5216.66,952.67,362.0,4.0,,0.8125,0.0580562360255555,0.04204150282446549,0.012640761232918999,0.004290168660880597,-0.016077188187655377,0.012957724700212614,
61,0.11390920525637782,True,10,2.8,0.2,18,1.1500000000000001,0.0,35.54235083749958,1.1546888804745676,0.8740126824083363,22.441783405342346,169,53,116,31.36094674556213,26530.94,22976.7,3554.239999999998,2845.26,979,0,52.16655702599981,1.631976177900108,2.077741763154784,18.802685493901137,65.0,25.0,40.0,38.46153846153846,13471.18,8254.52,5216.66,952.67,362.0,4.0,,0.8125,0.0580562360255555,0.04204150282446549,0.012640761232918999,0.004290168660880597,-0.016077188187655377,0.012957724700212614,
81,0.11390920525637782,True,10,2.9000000000000004,0.30000000000000004,18,1.1500000000000001,0.0,35.54235083749958,1.1546888804745676,0.8740126824083363,22.441783405342346,169,53,116,31.36094674556213,26530.94,22976.7,3554.239999999998,2845.26,983,0,52.16655702599981,1.631976177900108,2.077741763154784,18.802685493901137,65.0,25.0,40.0,38.46153846153846,13471.18,8254.52,5216.66,952.67,362.0,4.0,,0.8125,0.0580562360255555,0.04204150282446549,0.012640761232918999,0.004290168660880597,-0.016077188187655377,0.012957724700212614,
91,0.11333141132609414,True,10,2.8,0.2,18,1.2000000000000002,0.01,36.166521079999406,1.1649022849571453,0.8985064454278373,21.38691273638695,160,51,109,31.875,25548.8,21932.139999999996,3616.6600000000035,2655.91,1050,0,50.38607288399988,1.6298160154897485,2.036564973198485,18.802685493901137,63.0,24.0,39.0,38.095238095238095,13038.74,8000.129999999999,5038.610000000001,914.18,398.0,4.0,,0.7875,0.05738118527231814,0.033780376054099795,0.012640761232918999,0.0062051820013639125,-0.013725219296042179,0.01704912606143548,
104,0.10612779019845364,True,18,2.5,1.1,16,0.9,0.02,67.34756987799963,1.3284609412035526,1.360453705247141,15.547280985188127,125,45,80,36.0,27238.709999999995,20503.96,6734.749999999996,2217.5,1168,0,29.84547008749987,1.3696061385128275,1.419172270001766,18.99285602335806,62.0,22.0,40.0,35.483870967741936,11059.460000000001,8074.92,2984.540000000001,822.68,440.0,5.0,,0.775,-0.02393440128296967,-0.061523935460672065,0.011251508662023828,0.03687243004756528,0.10376357726354662,0.03969861096895964,
43,0.10493810981447932,True,19,2.6,0.8,18,0.8500000000000001,0.0,52.90426829549937,1.2285079355481026,1.1254573177356275,19.93433932515116,153,50,103,32.6797385620915,28442.6,23152.149999999998,5290.450000000001,2679.4,911,1,39.789627279999785,1.4701355600165888,1.731605050509934,17.427686022754735,70.0,28.0,42.0,40.0,12442.359999999999,8463.41,3978.949999999999,956.9,345.0,5.0,,0.875,0.007481042936955742,-0.015385507649835964,0.022685543438262516,0.018131241487168395,0.049342739869175714,0.02268304973275291,
47,0.09962924843108059,True,13,2.9000000000000004,0.2,19,1.1500000000000001,0.05,41.75165113799947,1.2032850740200647,1.00185298056912,20.85863073193906,145,48,97,33.10344827586207,24713.489999999998,20538.350000000002,4175.139999999996,2463.75,1110,1,48.50529745199989,1.5733695523686588,2.0516536250083974,21.215165685561086,67.0,27.0,40.0,40.298507462686565,13310.14,8459.64,4850.5,948.13,430.0,4.0,,0.8375,0.03974166554697761,0.025052487501594868,-0.0049831278000895,0.013401954950661293,0.0073181576118079485,0.019098110620128377,
67,0.09658983749289526,True,14,2.6,0.7000000000000001,18,1.3,0.04,35.46289800949955,1.1990453894634747,0.9109073046282392,19.088688574694018,130,44,86,33.84615384615385,21363.019999999997,17816.690000000002,3546.3299999999945,2052.2,1311,0,43.89794040149987,1.614270661772834,1.9719491059839007,18.042601172360243,56.0,23.0,33.0,41.07142857142857,11536.239999999998,7146.41,4389.829999999998,780.78,506.0,5.0,,0.7,0.05252326223578234,0.0036784169073550707,0.01819340443590802,0.012607014096300675,-0.016375234870331875,0.025962974687881026,
